name,type,value,date
密云营业部,密云营业部,49944.02,2018-05-04
西城第一门市部,西城第一门市部,49544.04,2018-05-04
塔院门市部,塔院门市部,47762.00,2018-05-04
公主坟第一门市,公主坟第一门市,46738.20,2018-05-04
天坛营业部,天坛营业部,36146.00,2018-05-04
北京市第一营业部,北京市第一营业部,35765.01,2018-05-04
劲松营业部,劲松营业部,151042.06,2018-05-05
花市营业部,花市营业部,118208.70,2018-05-05
北苑营业部,北苑营业部,73754.30,2018-05-05
宣武门外营业部,宣武门外营业部,70649.00,2018-05-05
西城第一门市部,西城第一门市部,60185.04,2018-05-05
塔院门市部,塔院门市部,55680.02,2018-05-05
密云营业部,密云营业部,54524.02,2018-05-05
怀柔门市,怀柔门市,53780.82,2018-05-05
北三环安贞桥门市部,北三环安贞桥门市部,46747.10,2018-05-05
公主坟第一门市,公主坟第一门市,46738.20,2018-05-05
劲松营业部,劲松营业部,151042.06,2018-05-06
花市营业部,花市营业部,128108.70,2018-05-06
西城第一门市部,西城第一门市部,84312.04,2018-05-06
北苑营业部,北苑营业部,77852.90,2018-05-06
宣武门外营业部,宣武门外营业部,75915.40,2018-05-06
塔院门市部,塔院门市部,55680.02,2018-05-06
密云营业部,密云营业部,54524.02,2018-05-06
怀柔门市,怀柔门市,53780.82,2018-05-06
北三环安贞桥门市部,北三环安贞桥门市部,49132.70,2018-05-06
公主坟第一门市,公主坟第一门市,46738.20,2018-05-06
西城第一门市部,西城第一门市部,188812.04,2018-05-07
劲松营业部,劲松营业部,151042.06,2018-05-07
花市营业部,花市营业部,128108.70,2018-05-07
宣武门外营业部,宣武门外营业部,85617.40,2018-05-07
北苑营业部,北苑营业部,77852.90,2018-05-07
东直门门市部,东直门门市部,67759.05,2018-05-07
怀柔门市,怀柔门市,63205.62,2018-05-07
阜外营业部,阜外营业部,61179.14,2018-05-07
公主坟第一门市,公主坟第一门市,59311.20,2018-05-07
塔院门市部,塔院门市部,55680.02,2018-05-07
花市营业部,花市营业部,223879.71,2018-05-08
西城第一门市部,西城第一门市部,190227.04,2018-05-08
劲松营业部,劲松营业部,174873.46,2018-05-08
宣武门外营业部,宣武门外营业部,88783.42,2018-05-08
怀柔门市,怀柔门市,77855.62,2018-05-08
北苑营业部,北苑营业部,77852.90,2018-05-08
阜外营业部,阜外营业部,71077.54,2018-05-08
东直门门市部,东直门门市部,67759.05,2018-05-08
公主坟第一门市,公主坟第一门市,65239.62,2018-05-08
北三环安贞桥门市部,北三环安贞桥门市部,65008.94,2018-05-08
花市营业部,花市营业部,524551.53,2018-05-09
第一营业部,第一营业部,288008.00,2018-05-09
劲松营业部,劲松营业部,215356.23,2018-05-09
西城第一门市部,西城第一门市部,194187.04,2018-05-09
公主坟第一门市,公主坟第一门市,111444.02,2018-05-09
宣武门外营业部,宣武门外营业部,98391.16,2018-05-09
怀柔门市,怀柔门市,84536.62,2018-05-09
建国门分社,建国门分社,81511.56,2018-05-09
阜外营业部,阜外营业部,80777.56,2018-05-09
北苑营业部,北苑营业部,80307.90,2018-05-09
花市营业部,花市营业部,629599.17,2018-05-10
第一营业部,第一营业部,289544.48,2018-05-10
劲松营业部,劲松营业部,279784.24,2018-05-10
阜外营业部,阜外营业部,227852.56,2018-05-10
宣武门外营业部,宣武门外营业部,197321.51,2018-05-10
西城第一门市部,西城第一门市部,194187.04,2018-05-10
安贞营业部,安贞营业部,115521.40,2018-05-10
建国门分社,建国门分社,113745.96,2018-05-10
公主坟第一门市,公主坟第一门市,111444.02,2018-05-10
