name,type,value,date
九州风行,九州风行,78203.06,2018-05-07
五洲行,五洲行,64686.60,2018-05-07
乐逸达,乐逸达,58892.00,2018-05-07
寰宇风情,寰宇风情,35849.00,2018-05-07
南亚大自然,南亚大自然,29986.50,2018-05-07
全景旅游,全景旅游,406845.00,2018-05-08
奇幻九州,奇幻九州,207564.00,2018-05-08
朋乐假期,朋乐假期,104768.83,2018-05-08
维京旅游,维京旅游,103950.00,2018-05-08
皇家UNIWAY,皇家UNIWAY,86821.06,2018-05-08
九州风行,九州风行,78203.06,2018-05-08
五洲行,五洲行,64686.60,2018-05-08
晟鑫国际,晟鑫国际,59400.00,2018-05-08
乐逸达,乐逸达,58892.00,2018-05-08
寰宇风情,寰宇风情,35849.00,2018-05-08
全景旅游,全景旅游,462415.00,2018-05-09
优耐德,优耐德,288018.08,2018-05-09
越柬行踪,越柬行踪,249182.00,2018-05-09
奇幻九州,奇幻九州,211484.00,2018-05-09
皇家UNIWAY,皇家UNIWAY,142850.07,2018-05-09
朋乐假期,朋乐假期,104768.83,2018-05-09
维京旅游,维京旅游,103950.00,2018-05-09
乐逸达,乐逸达,102484.00,2018-05-09
九州风行,九州风行,78203.06,2018-05-09
五洲行,五洲行,64686.60,2018-05-09
全景旅游,全景旅游,598525.00,2018-05-10
优耐德,优耐德,412830.94,2018-05-10
越柬行踪,越柬行踪,249182.00,2018-05-10
奇幻九州,奇幻九州,235788.00,2018-05-10
皇家UNIWAY,皇家UNIWAY,157512.07,2018-05-10
朋乐假期,朋乐假期,111596.83,2018-05-10
维京旅游,维京旅游,103950.00,2018-05-10
乐逸达,乐逸达,102484.00,2018-05-10
九州风行,九州风行,78203.06,2018-05-10
寰宇风情,寰宇风情,71818.40,2018-05-10
全景旅游,全景旅游,658607.02,2018-05-11
优耐德,优耐德,441051.02,2018-05-11
越柬行踪,越柬行踪,287336.20,2018-05-11
奇幻九州,奇幻九州,247352.00,2018-05-11
皇家UNIWAY,皇家UNIWAY,157512.07,2018-05-11
朋乐假期,朋乐假期,113374.85,2018-05-11
维京旅游,维京旅游,103950.00,2018-05-11
乐逸达,乐逸达,102484.00,2018-05-11
五洲行,五洲行,85278.60,2018-05-11
九州风行,九州风行,78203.06,2018-05-11
全景旅游,全景旅游,734414.02,2018-05-12
优耐德,优耐德,483383.02,2018-05-12
越柬行踪,越柬行踪,287336.20,2018-05-12
奇幻九州,奇幻九州,269108.00,2018-05-12
皇家UNIWAY,皇家UNIWAY,157512.07,2018-05-12
维京旅游,维京旅游,154664.72,2018-05-12
朋乐假期,朋乐假期,113374.85,2018-05-12
乐逸达,乐逸达,102484.00,2018-05-12
惠旅行,惠旅行,101992.00,2018-05-12
五洲行,五洲行,85278.60,2018-05-12
全景旅游,全景旅游,823746.06,2018-05-13
优耐德,优耐德,483383.02,2018-05-13
越柬行踪,越柬行踪,287336.20,2018-05-13
奇幻九州,奇幻九州,269108.00,2018-05-13
皇家UNIWAY,皇家UNIWAY,192490.07,2018-05-13
维京旅游,维京旅游,154664.72,2018-05-13
朋乐假期,朋乐假期,117526.89,2018-05-13
五洲行,五洲行,114928.11,2018-05-13
乐逸达,乐逸达,102484.00,2018-05-13
惠旅行,惠旅行,101992.00,2018-05-13
全景旅游,全景旅游,942552.06,2018-05-14
优耐德,优耐德,500627.10,2018-05-14
奇幻九州,奇幻九州,289492.00,2018-05-14
越柬行踪,越柬行踪,287336.20,2018-05-14
皇家UNIWAY,皇家UNIWAY,192490.07,2018-05-14
维京旅游,维京旅游,154664.72,2018-05-14
乐逸达,乐逸达,135378.00,2018-05-14
五洲行,五洲行,131362.13,2018-05-14
朋乐假期,朋乐假期,120394.89,2018-05-14
九州风行,九州风行,103147.10,2018-05-14
全景旅游,全景旅游,1008437.06,2018-05-15
优耐德,优耐德,538063.10,2018-05-15
奇幻九州,奇幻九州,309092.00,2018-05-15
越柬行踪,越柬行踪,287336.20,2018-05-15
皇家UNIWAY,皇家UNIWAY,220013.07,2018-05-15
维京旅游,维京旅游,154664.72,2018-05-15
五洲行,五洲行,144484.53,2018-05-15
朋乐假期,朋乐假期,137498.11,2018-05-15
乐逸达,乐逸达,135378.00,2018-05-15
寰宇风情,寰宇风情,116538.40,2018-05-15
全景旅游,全景旅游,1151020.06,2018-05-16
优耐德,优耐德,586471.18,2018-05-16
奇幻九州,奇幻九州,396900.00,2018-05-16
越柬行踪,越柬行踪,299572.60,2018-05-16
皇家UNIWAY,皇家UNIWAY,248944.09,2018-05-16
维京旅游,维京旅游,154664.72,2018-05-16
五洲行,五洲行,144484.53,2018-05-16
乐逸达,乐逸达,141227.00,2018-05-16
朋乐假期,朋乐假期,137498.11,2018-05-16
寰宇风情,寰宇风情,116538.40,2018-05-16
全景旅游,全景旅游,1305672.56,2018-05-17
优耐德,优耐德,650288.78,2018-05-17
奇幻九州,奇幻九州,405916.00,2018-05-17
越柬行踪,越柬行踪,302332.60,2018-05-17
皇家UNIWAY,皇家UNIWAY,265488.15,2018-05-17
五洲行,五洲行,164634.93,2018-05-17
维京旅游,维京旅游,154664.72,2018-05-17
朋乐假期,朋乐假期,147125.54,2018-05-17
乐逸达,乐逸达,141227.00,2018-05-17
信捷假期,信捷假期,133472.00,2018-05-17
全景旅游,全景旅游,1389504.56,2018-05-18
优耐德,优耐德,666946.82,2018-05-18
奇幻九州,奇幻九州,440902.00,2018-05-18
皇家UNIWAY,皇家UNIWAY,358350.15,2018-05-18
越柬行踪,越柬行踪,302332.60,2018-05-18
领先旅游,领先旅游,172903.00,2018-05-18
五洲行,五洲行,164634.93,2018-05-18
寰宇风情,寰宇风情,161133.80,2018-05-18
维京旅游,维京旅游,154664.72,2018-05-18
朋乐假期,朋乐假期,151922.57,2018-05-18
全景旅游,全景旅游,1485754.56,2018-05-19
优耐德,优耐德,682626.82,2018-05-19
奇幻九州,奇幻九州,466284.00,2018-05-19
皇家UNIWAY,皇家UNIWAY,358350.15,2018-05-19
五洲行,五洲行,314122.95,2018-05-19
越柬行踪,越柬行踪,302332.60,2018-05-19
朋乐假期,朋乐假期,176724.61,2018-05-19
领先旅游,领先旅游,172903.00,2018-05-19
寰宇风情,寰宇风情,161133.80,2018-05-19
九州风行,九州风行,158981.10,2018-05-19
全景旅游,全景旅游,1548828.56,2018-05-20
优耐德,优耐德,687997.22,2018-05-20
奇幻九州,奇幻九州,483532.00,2018-05-20
皇家UNIWAY,皇家UNIWAY,365812.51,2018-05-20
五洲行,五洲行,334671.39,2018-05-20
越柬行踪,越柬行踪,302332.60,2018-05-20
寰宇风情,寰宇风情,195556.20,2018-05-20
朋乐假期,朋乐假期,188400.65,2018-05-20
领先旅游,领先旅游,172903.00,2018-05-20
九州风行,九州风行,158981.10,2018-05-20
全景旅游,全景旅游,1657859.56,2018-05-21
优耐德,优耐德,720935.62,2018-05-21
奇幻九州,奇幻九州,483532.00,2018-05-21
皇家UNIWAY,皇家UNIWAY,365812.51,2018-05-21
五洲行,五洲行,363477.39,2018-05-21
越柬行踪,越柬行踪,302332.60,2018-05-21
寰宇风情,寰宇风情,201258.20,2018-05-21
九州风行,九州风行,188579.10,2018-05-21
朋乐假期,朋乐假期,188400.65,2018-05-21
领先旅游,领先旅游,172903.00,2018-05-21
全景旅游,全景旅游,1775488.56,2018-05-22
优耐德,优耐德,770366.82,2018-05-22
奇幻九州,奇幻九州,501564.00,2018-05-22
五洲行,五洲行,375119.79,2018-05-22
皇家UNIWAY,皇家UNIWAY,370244.03,2018-05-22
越柬行踪,越柬行踪,302332.60,2018-05-22
寰宇风情,寰宇风情,201258.20,2018-05-22
朋乐假期,朋乐假期,197646.72,2018-05-22
九州风行,九州风行,188579.10,2018-05-22
领先旅游,领先旅游,172903.00,2018-05-22
全景旅游,全景旅游,1911130.59,2018-05-23
优耐德,优耐德,779578.82,2018-05-23
五洲行,五洲行,666719.91,2018-05-23
奇幻九州,奇幻九州,519008.00,2018-05-23
皇家UNIWAY,皇家UNIWAY,370244.03,2018-05-23
越柬行踪,越柬行踪,302332.60,2018-05-23
九州风行,九州风行,270426.15,2018-05-23
寰宇风情,寰宇风情,206882.20,2018-05-23
朋乐假期,朋乐假期,197646.72,2018-05-23
领先旅游,领先旅游,172903.00,2018-05-23
全景旅游,全景旅游,2067641.59,2018-05-24
优耐德,优耐德,837735.88,2018-05-24
五洲行,五洲行,666719.91,2018-05-24
奇幻九州,奇幻九州,568302.00,2018-05-24
皇家UNIWAY,皇家UNIWAY,405403.61,2018-05-24
越柬行踪,越柬行踪,302332.60,2018-05-24
九州风行,九州风行,291807.18,2018-05-24
寰宇风情,寰宇风情,271096.26,2018-05-24
领先旅游,领先旅游,262300.00,2018-05-24
朋乐假期,朋乐假期,197646.72,2018-05-24
全景旅游,全景旅游,2104924.59,2018-05-25
优耐德,优耐德,842830.90,2018-05-25
五洲行,五洲行,673754.93,2018-05-25
奇幻九州,奇幻九州,568302.00,2018-05-25
皇家UNIWAY,皇家UNIWAY,412865.97,2018-05-25
寰宇风情,寰宇风情,305441.26,2018-05-25
越柬行踪,越柬行踪,302332.60,2018-05-25
九州风行,九州风行,291807.18,2018-05-25
领先旅游,领先旅游,272497.00,2018-05-25
朋乐假期,朋乐假期,211544.82,2018-05-25
全景旅游,全景旅游,2173125.61,2018-05-26
优耐德,优耐德,866192.90,2018-05-26
五洲行,五洲行,673754.93,2018-05-26
奇幻九州,奇幻九州,583982.00,2018-05-26
协作旅游,协作旅游,475193.67,2018-05-26
皇家UNIWAY,皇家UNIWAY,438131.22,2018-05-26
九州风行,九州风行,345861.18,2018-05-26
领先旅游,领先旅游,306553.00,2018-05-26
寰宇风情,寰宇风情,305441.26,2018-05-26
越柬行踪,越柬行踪,302332.60,2018-05-26
全景旅游,全景旅游,2230907.61,2018-05-27
优耐德,优耐德,905939.74,2018-05-27
五洲行,五洲行,673754.93,2018-05-27
奇幻九州,奇幻九州,605738.00,2018-05-27
皇家UNIWAY,皇家UNIWAY,479001.80,2018-05-27
协作旅游,协作旅游,475193.67,2018-05-27
九州风行,九州风行,345861.18,2018-05-27
寰宇风情,寰宇风情,315339.26,2018-05-27
领先旅游,领先旅游,306553.00,2018-05-27
越柬行踪,越柬行踪,302332.60,2018-05-27
全景旅游,全景旅游,2292001.61,2018-05-28
优耐德,优耐德,953175.74,2018-05-28
五洲行,五洲行,673754.93,2018-05-28
奇幻九州,奇幻九州,636706.00,2018-05-28
皇家UNIWAY,皇家UNIWAY,479001.80,2018-05-28
协作旅游,协作旅游,475193.67,2018-05-28
九州风行,九州风行,369318.21,2018-05-28
领先旅游,领先旅游,336249.00,2018-05-28
寰宇风情,寰宇风情,315339.26,2018-05-28
越柬行踪,越柬行踪,302332.60,2018-05-28
全景旅游,全景旅游,2400394.66,2018-05-29
优耐德,优耐德,986689.74,2018-05-29
五洲行,五洲行,673754.93,2018-05-29
奇幻九州,奇幻九州,658462.00,2018-05-29
皇家UNIWAY,皇家UNIWAY,479001.80,2018-05-29
协作旅游,协作旅游,475193.67,2018-05-29
九州风行,九州风行,411884.21,2018-05-29
领先旅游,领先旅游,336249.00,2018-05-29
寰宇风情,寰宇风情,321797.27,2018-05-29
越柬行踪,越柬行踪,302332.60,2018-05-29
全景旅游,全景旅游,2544941.66,2018-05-30
优耐德,优耐德,1212208.90,2018-05-30
奇幻九州,奇幻九州,817712.00,2018-05-30
五洲行,五洲行,765494.25,2018-05-30
皇家UNIWAY,皇家UNIWAY,526601.00,2018-05-30
协作旅游,协作旅游,475193.67,2018-05-30
九州风行,九州风行,431482.24,2018-05-30
寰宇风情,寰宇风情,350044.68,2018-05-30
领先旅游,领先旅游,336249.00,2018-05-30
越柬行踪,越柬行踪,302332.60,2018-05-30
全景旅游,全景旅游,2636682.66,2018-05-31
优耐德,优耐德,1224277.70,2018-05-31
奇幻九州,奇幻九州,905464.00,2018-05-31
五洲行,五洲行,767968.25,2018-05-31
皇家UNIWAY,皇家UNIWAY,526601.00,2018-05-31
协作旅游,协作旅游,475193.67,2018-05-31
九州风行,九州风行,455022.24,2018-05-31
寰宇风情,寰宇风情,350044.68,2018-05-31
领先旅游,领先旅游,336249.00,2018-05-31
翔龙万里行,翔龙万里行,315423.05,2018-05-31
全景旅游,全景旅游,2661454.66,2018-06-01
优耐德,优耐德,1311435.70,2018-06-01
五洲行,五洲行,989795.17,2018-06-01
奇幻九州,奇幻九州,937804.00,2018-06-01
皇家UNIWAY,皇家UNIWAY,526601.00,2018-06-01
协作旅游,协作旅游,475193.67,2018-06-01
九州风行,九州风行,455022.24,2018-06-01
寰宇风情,寰宇风情,371343.70,2018-06-01
领先旅游,领先旅游,336249.00,2018-06-01
翔龙万里行,翔龙万里行,332371.85,2018-06-01
全景旅游,全景旅游,3034673.36,2018-06-02
优耐德,优耐德,2267664.70,2018-06-02
五洲行,五洲行,989795.17,2018-06-02
奇幻九州,奇幻九州,983864.00,2018-06-02
皇家UNIWAY,皇家UNIWAY,526601.00,2018-06-02
九州风行,九州风行,475194.26,2018-06-02
协作旅游,协作旅游,475193.67,2018-06-02
寰宇风情,寰宇风情,469734.10,2018-06-02
领先旅游,领先旅游,336249.00,2018-06-02
翔龙万里行,翔龙万里行,332371.85,2018-06-02
优耐德,优耐德,3228431.20,2018-06-03
全景旅游,全景旅游,3123219.36,2018-06-03
五洲行,五洲行,1036023.19,2018-06-03
奇幻九州,奇幻九州,1010814.00,2018-06-03
皇家UNIWAY,皇家UNIWAY,536251.00,2018-06-03
九州风行,九州风行,481282.26,2018-06-03
寰宇风情,寰宇风情,479970.10,2018-06-03
协作旅游,协作旅游,475193.67,2018-06-03
翔龙万里行,翔龙万里行,351674.85,2018-06-03
领先旅游,领先旅游,336249.00,2018-06-03
优耐德,优耐德,3315357.20,2018-06-04
全景旅游,全景旅游,3222932.36,2018-06-04
五洲行,五洲行,1051269.19,2018-06-04
奇幻九州,奇幻九州,1049230.00,2018-06-04
九州风行,九州风行,575910.33,2018-06-04
皇家UNIWAY,皇家UNIWAY,536251.00,2018-06-04
寰宇风情,寰宇风情,511095.10,2018-06-04
协作旅游,协作旅游,475193.67,2018-06-04
领先旅游,领先旅游,365153.00,2018-06-04
翔龙万里行,翔龙万里行,351674.85,2018-06-04
全景旅游,全景旅游,3347137.39,2018-06-05
优耐德,优耐德,3327896.20,2018-06-05
奇幻九州,奇幻九州,1115772.00,2018-06-05
五洲行,五洲行,1051269.19,2018-06-05
朋乐假期,朋乐假期,980189.75,2018-06-05
九州风行,九州风行,575910.33,2018-06-05
皇家UNIWAY,皇家UNIWAY,536251.00,2018-06-05
寰宇风情,寰宇风情,513569.30,2018-06-05
协作旅游,协作旅游,475193.67,2018-06-05
翔龙万里行,翔龙万里行,368390.85,2018-06-05
全景旅游,全景旅游,3376353.39,2018-06-06
优耐德,优耐德,3354846.20,2018-06-06
奇幻九州,奇幻九州,1158500.00,2018-06-06
五洲行,五洲行,1088449.59,2018-06-06
朋乐假期,朋乐假期,1045378.27,2018-06-06
九州风行,九州风行,656980.41,2018-06-06
皇家UNIWAY,皇家UNIWAY,568976.50,2018-06-06
寰宇风情,寰宇风情,520454.33,2018-06-06
协作旅游,协作旅游,475193.67,2018-06-06
翔龙万里行,翔龙万里行,368390.85,2018-06-06
全景旅游,全景旅游,3502220.41,2018-06-07
优耐德,优耐德,3411646.20,2018-06-07
奇幻九州,奇幻九州,1247876.00,2018-06-07
五洲行,五洲行,1115177.59,2018-06-07
朋乐假期,朋乐假期,1052701.29,2018-06-07
九州风行,九州风行,677968.41,2018-06-07
皇家UNIWAY,皇家UNIWAY,568976.50,2018-06-07
寰宇风情,寰宇风情,526888.53,2018-06-07
协作旅游,协作旅游,475193.67,2018-06-07
翔龙万里行,翔龙万里行,376706.85,2018-06-07
全景旅游,全景旅游,3654628.11,2018-06-08
优耐德,优耐德,3652214.30,2018-06-08
奇幻九州,奇幻九州,1257088.00,2018-06-08
五洲行,五洲行,1128799.99,2018-06-08
朋乐假期,朋乐假期,1068076.94,2018-06-08
皇家UNIWAY,皇家UNIWAY,727762.00,2018-06-08
九州风行,九州风行,677968.41,2018-06-08
寰宇风情,寰宇风情,538706.73,2018-06-08
协作旅游,协作旅游,475193.67,2018-06-08
翔龙万里行,翔龙万里行,376706.85,2018-06-08
全景旅游,全景旅游,4095246.15,2018-06-09
优耐德,优耐德,3809666.38,2018-06-09
奇幻九州,奇幻九州,1356068.00,2018-06-09
五洲行,五洲行,1158301.99,2018-06-09
朋乐假期,朋乐假期,1091088.96,2018-06-09
寰宇风情,寰宇风情,739104.23,2018-06-09
皇家UNIWAY,皇家UNIWAY,727762.00,2018-06-09
九州风行,九州风行,697865.41,2018-06-09
协作旅游,协作旅游,475193.67,2018-06-09
翔龙万里行,翔龙万里行,444125.85,2018-06-09
